"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"95191152@OBS","https://observation.org/observation/95191152","OBS.95191152","HumanObservation","Observations","Saxifraga bryoides","species","Plantae","SAXIFRAGACEAE","Plantae|SAXIFRAGACEAE",NA,NA,1,"unknown","undetermined",10.3360748291,46.9898550081,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191152","Stichting Natuurinformatie","CC BY-NC 4.0",2014-12-11
"95188675@OBS","https://observation.org/observation/95188675","OBS.95188675","HumanObservation","Observations","Eupithecia sinuosaria","species","Animalia","Geometridae","Animalia|Geometridae",NA,NA,1,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188675","Stichting Natuurinformatie","CC BY-NC 4.0",2015-04-04
"95188661@OBS","https://observation.org/observation/95188661","OBS.95188661","HumanObservation","Observations","Pheosia gnoma","species","Animalia","Notodontidae","Animalia|Notodontidae","Lesser Swallow Prominent",NA,3,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188661","Stichting Natuurinformatie","CC BY-NC 4.0",2018-08-15
"95188649@OBS","https://observation.org/observation/95188649","OBS.95188649","HumanObservation","Observations","Cidaria fulvata","species","Animalia","Geometridae","Animalia|Geometridae","Barred Yellow",NA,1,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188649","Stichting Natuurinformatie","CC BY-NC 4.0",2015-04-09
"95188633@OBS","https://observation.org/observation/95188633","OBS.95188633","HumanObservation","Observations","Calliergis ramosa","species","Animalia","Noctuidae","Animalia|Noctuidae",NA,NA,1,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188633","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-01
"95188621@OBS","https://observation.org/observation/95188621","OBS.95188621","HumanObservation","Observations","Lymantria monacha","species","Animalia","EREBIDAE","Animalia|EREBIDAE","Black Arches",NA,1,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188621","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-01
"95188612@OBS","https://observation.org/observation/95188612","OBS.95188612","HumanObservation","Observations","Scopula immorata","species","Animalia","Geometridae","Animalia|Geometridae","Lewes Wave",NA,2,"imago","undetermined",10.3997684084,47.0743343394,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188612","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-25
"95188604@OBS","https://observation.org/observation/95188604","OBS.95188604","HumanObservation","Observations","Crocallis elinguaria","species","Animalia","Geometridae","Animalia|Geometridae","Scalloped Oak",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188604","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-09
"95188565@OBS","https://observation.org/observation/95188565","OBS.95188565","HumanObservation","Observations","Epinotia ramella","species","Animalia","Tortricidae","Animalia|Tortricidae",NA,NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188565","Stichting Natuurinformatie","CC BY-NC 4.0",2020-03-26
"95188557@OBS","https://observation.org/observation/95188557","OBS.95188557","HumanObservation","Observations","Eupithecia lariciata","species","Animalia","Geometridae","Animalia|Geometridae","Larch Pug",NA,3,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188557","Stichting Natuurinformatie","CC BY-NC 4.0",2015-04-04
"95188508@OBS","https://observation.org/observation/95188508","OBS.95188508","HumanObservation","Observations","Entephria caesiata","species","Animalia","Geometridae","Animalia|Geometridae","Grey Mountain Carpet",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188508","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95188470@OBS","https://observation.org/observation/95188470","OBS.95188470","HumanObservation","Observations","Pasiphila rectangulata","species","Animalia","Geometridae","Animalia|Geometridae","Green Pug",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188470","Stichting Natuurinformatie","CC BY-NC 4.0",2015-04-05
"95188454@OBS","https://observation.org/observation/95188454","OBS.95188454","HumanObservation","Observations","Sideridis rivularis","species","Animalia","Noctuidae","Animalia|Noctuidae","Campion",NA,2,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188454","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-01
"95188298@OBS","https://observation.org/observation/95188298","OBS.95188298","HumanObservation","Observations","Idaea aversata","species","Animalia","Geometridae","Animalia|Geometridae","Riband Wave",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188298","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-10
"95188254@OBS","https://observation.org/observation/95188254","OBS.95188254","HumanObservation","Observations","Thera cognata","species","Animalia","Geometridae","Animalia|Geometridae","Chestnut-coloured Carpet",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188254","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95188227@OBS","https://observation.org/observation/95188227","OBS.95188227","HumanObservation","Observations","Noctua pronuba","species","Animalia","Noctuidae","Animalia|Noctuidae","Large Yellow Underwing",NA,5,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188227","Stichting Natuurinformatie","CC BY-NC 4.0",2019-12-29
"95188205@OBS","https://observation.org/observation/95188205","OBS.95188205","HumanObservation","Observations","Eana penziana","species","Animalia","Tortricidae","Animalia|Tortricidae",NA,NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188205","Stichting Natuurinformatie","CC BY-NC 4.0",2019-12-29
"95188117@OBS","https://observation.org/observation/95188117","OBS.95188117","HumanObservation","Observations","Hadena caesia","species","Animalia","Noctuidae","Animalia|Noctuidae","The Grey",NA,2,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188117","Stichting Natuurinformatie","CC BY-NC 4.0",2019-12-29
"95188025@OBS","https://observation.org/observation/95188025","OBS.95188025","HumanObservation","Observations","Graphiphora augur","species","Animalia","Noctuidae","Animalia|Noctuidae","Double Dart",NA,1,"imago","undetermined",10.3999507986,47.074221083,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95188025","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-04
